act_symbol,period_end_date,reported,estimate,category,prediction_cutoff,forecast_error,normalized_error,forecast_error_winsorized,normalized_error_winsorized,year,calendar_month,fiscal_quarter,beat,surprise_pct,sp500_return,sp500_return_z,vix_mean,vix_mean_z,sp500_return_pit,vix_mean_pit,revision_slope,revision_acceleration,direction_changes,final_vs_initial,spread_trend,analyst_count_trend,weeks_of_data,category_encoded,beat_proba,beat_pred
AEP,2020-09-30,1.47,1.46,defensive_baseline,2020-09-30,0.010000000000000009,0.006849315068493157,0.010000000000000009,0.006849315068493157,2020,9,3,1,0.6849315068493157,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.0036904761904761755,0.0032142857142857173,2.0,,0.011785714285714278,0.0,8,5,0.298398,0
AEP,2020-12-31,0.87,0.79,defensive_baseline,2020-12-31,0.07999999999999996,0.10126582278481007,0.07999999999999996,0.10126582278481007,2020,12,4,1,10.126582278481006,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.002727272727272723,0.003333333333333336,0.0,0.0,0.008909090909090927,0.05454545454545454,10,5,0.26878902,0
AMAT,2020-01-31,0.98,0.92,tech_cycle,2020-01-31,0.05999999999999994,0.06521739130434775,0.05999999999999994,0.06521739130434775,2020,1,1,1,6.521739130434775,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,0.11760202682602966,13.41289472579956,0.007272727272727259,-0.00872727272727273,0.0,0.0,-0.009090909090909096,0.13636363636363635,11,2,0.5902204,1
AMAT,2020-04-30,0.89,0.91,tech_cycle,2020-04-30,-0.020000000000000018,-0.021978021978021997,-0.020000000000000018,-0.021978021978021997,2020,4,2,0,-2.1978021978021998,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,-0.09638340460683945,35.12623384401396,-0.015181818181818173,-0.0018181818181818164,0.0,-0.12,0.07363636363636365,0.045454545454545456,11,2,0.6358844,1
AMAT,2020-07-31,1.06,0.95,tech_cycle,2020-07-31,0.1100000000000001,0.11578947368421064,0.1100000000000001,0.11578947368421064,2020,7,3,1,11.578947368421064,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.16359474487978273,31.26493515906396,-0.002272727272727281,0.0027272727272727297,0.0,0.0,-0.0022727272727272757,0.09090909090909091,11,2,0.19088031,0
AMAT,2020-10-31,1.25,1.17,tech_cycle,2020-10-31,0.08000000000000007,0.06837606837606844,0.08000000000000007,0.06837606837606844,2020,10,4,1,6.8376068376068435,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.026662120674626037,26.596455610251123,0.00454545454545453,-0.005454545454545447,0.0,0.0,-0.009090909090909089,0.09090909090909091,11,2,0.44988853,0
AMD,2020-03-31,0.18,0.18,tech_cycle,2020-03-31,0.0,0.0,0.0,0.0,2020,3,1,0,0.0,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.001666666666666668,-0.00011904761904761916,0.0,-0.010000000000000009,-0.002,0.0,9,2,0.41167998,0
AMD,2020-06-30,0.18,0.16,tech_cycle,2020-06-30,0.01999999999999999,0.12499999999999993,0.01999999999999999,0.12499999999999993,2020,6,2,1,12.499999999999993,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,0.0,0.0,0.0,0.0,-0.001333333333333331,0.0,9,2,0.5597883,1
AMD,2020-09-30,0.41,0.36,tech_cycle,2020-09-30,0.04999999999999999,0.13888888888888887,0.04999999999999999,0.13888888888888887,2020,9,3,1,13.888888888888888,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.0013333333333333272,-0.0016666666666666635,0.0,0.019999999999999962,-0.003333333333333336,0.0,9,2,0.57986,1
AMD,2020-12-31,0.52,0.47,tech_cycle,2020-12-31,0.050000000000000044,0.10638297872340435,0.050000000000000044,0.10638297872340435,2020,12,4,1,10.638297872340436,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-3.7007434154171884e-18,0.0,0.0,0.0,-0.006666666666666664,-0.16666666666666666,9,2,0.58862245,1
AMGN,2020-03-31,4.17,3.7,regulatory_idiosyncratic,2020-03-31,0.46999999999999975,0.12702702702702695,0.46999999999999975,0.12702702702702695,2020,3,1,1,12.702702702702695,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.014166666666666572,0.012142857142857143,0.0,-0.19999999999999973,0.020333333333333366,0.13333333333333333,9,4,0.476009,0
AMGN,2020-06-30,4.25,3.81,regulatory_idiosyncratic,2020-06-30,0.43999999999999995,0.11548556430446193,0.43999999999999995,0.11548556430446193,2020,6,2,1,11.548556430446192,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.0021666666666665907,0.020833333333333322,1.0,-0.1299999999999999,-0.054000000000000006,-0.016666666666666666,9,4,0.58680487,1
AMGN,2020-09-30,4.37,3.75,regulatory_idiosyncratic,2020-09-30,0.6200000000000001,0.16533333333333336,0.6200000000000001,0.16533333333333336,2020,9,3,1,16.533333333333335,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.0013333333333333049,-0.001666666666666668,0.0,0.020000000000000018,0.011999999999999981,0.06666666666666667,9,4,0.6659494,1
AMGN,2020-12-31,3.81,3.36,regulatory_idiosyncratic,2020-12-31,0.4500000000000002,0.13392857142857148,0.4500000000000002,0.13392857142857148,2020,12,4,1,13.392857142857148,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.01466666666666671,-0.0007142857142857149,0.0,0.10000000000000009,-0.12166666666666665,-0.1,9,4,0.77150077,1
AMT,2020-03-31,2.12,2.04,macro_rate_sensitive,2020-03-31,0.08000000000000007,0.03921568627450984,0.08000000000000007,0.03921568627450984,2020,3,1,1,3.921568627450984,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.04599999999999995,0.06899999999999992,0.0,,0.17200000000000001,0.4,5,1,0.63698936,1
AMT,2020-06-30,2.07,2.05,macro_rate_sensitive,2020-06-30,0.020000000000000018,0.009756097560975618,0.020000000000000018,0.009756097560975618,2020,6,2,1,0.9756097560975618,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.005333333333333397,0.006666666666666672,0.0,-0.08000000000000007,-0.008000000000000007,0.0,9,1,0.38930273,0
AMT,2020-09-30,2.23,2.08,macro_rate_sensitive,2020-09-30,0.1499999999999999,0.07211538461538457,0.1499999999999999,0.07211538461538457,2020,9,3,1,7.211538461538456,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.0020000000000000165,0.0024999999999999836,0.0,-0.029999999999999805,0.0023333333333333058,0.0,9,1,0.26101455,0
AMT,2020-12-31,2.07,2.08,macro_rate_sensitive,2020-12-31,-0.010000000000000231,-0.004807692307692419,-0.010000000000000231,-0.004807692307692419,2020,12,4,0,-0.4807692307692419,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.002666666666666669,0.003333333333333336,0.0,-0.040000000000000036,0.004166666666666681,0.0,9,1,0.23341733,0
AMZN,2020-03-31,5.01,6.36,economically_cyclical,2020-03-31,-1.3500000000000005,-0.2122641509433963,-1.3500000000000005,-0.2122641509433963,2020,3,1,0,-21.22641509433963,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,0.023666666666666693,-0.003690476190476186,2.0,0.3700000000000001,-0.04400000000000001,0.0,9,3,0.47959107,0
AMZN,2020-06-30,10.3,1.74,economically_cyclical,2020-06-30,8.56,4.919540229885058,4.766200000000029,1.5400000000000074,2020,6,2,1,491.9540229885058,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.25716666666666665,0.34619047619047616,1.0,-3.9799999999999995,0.023333333333333338,-0.016666666666666666,9,3,0.52173567,1
AMZN,2020-09-30,12.37,7.3,economically_cyclical,2020-09-30,5.069999999999999,0.6945205479452055,4.766200000000029,0.6945205479452055,2020,9,3,1,69.45205479452055,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.14333333333333323,-0.22166666666666668,1.0,2.5,-0.021833333333333135,-0.08333333333333333,9,3,0.6897493,1
AMZN,2020-12-31,14.09,7.05,economically_cyclical,2020-12-31,7.04,0.9985815602836879,4.766200000000029,0.9985815602836879,2020,12,4,1,99.8581560283688,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.19350000000000006,0.14714285714285713,0.0,-2.3,-0.3341666666666667,-0.23333333333333334,9,3,0.6454275,1
APD,2020-03-31,2.04,2.05,commodity_driven,2020-03-31,-0.009999999999999787,-0.004878048780487702,-0.009999999999999787,-0.004878048780487702,2020,3,1,0,-0.48780487804877015,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.011878787878787841,0.004999999999999997,0.0,-0.06000000000000005,0.007090909090909104,0.12727272727272726,10,0,0.4728134,0
APD,2020-06-30,2.01,2.05,commodity_driven,2020-06-30,-0.040000000000000036,-0.019512195121951237,-0.040000000000000036,-0.019512195121951237,2020,6,2,0,-1.9512195121951237,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.010909090909090893,0.013333333333333345,0.0,0.0,-0.020181818181818183,0.0,10,0,0.36027738,0
APD,2020-09-30,2.19,2.23,commodity_driven,2020-09-30,-0.040000000000000036,-0.01793721973094172,-0.040000000000000036,-0.01793721973094172,2020,9,3,0,-1.793721973094172,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.0005454545454545661,0.0006666666666666524,0.0,0.0,0.0,0.0,10,0,0.31301308,0
APD,2020-12-31,2.12,2.19,commodity_driven,2020-12-31,-0.06999999999999984,-0.03196347031963463,-0.06999999999999984,-0.03196347031963463,2020,12,4,0,-3.1963470319634633,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.011785714285714257,0.015714285714285698,0.0,,-0.021428571428571446,0.0,7,0,0.40934873,0
ASML,2020-03-31,1.03,1.02,tech_cycle,2020-03-31,0.010000000000000009,0.00980392156862746,0.010000000000000009,0.00980392156862746,2020,3,1,1,0.980392156862746,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-4.306319610667274e-17,0.0,0.0,0.0,0.0,0.0,10,2,0.46641317,0
ASML,2020-06-30,1.97,1.89,tech_cycle,2020-06-30,0.08000000000000007,0.04232804232804237,0.08000000000000007,0.04232804232804237,2020,6,2,1,4.232804232804237,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0.52174306,1
ASML,2020-09-30,2.96,2.58,tech_cycle,2020-09-30,0.3799999999999999,0.1472868217054263,0.3799999999999999,0.1472868217054263,2020,9,3,1,14.728682170542632,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.031363636363636344,-0.03763636363636365,0.0,0.0,0.0,0.0,11,2,0.41049996,0
ASML,2020-12-31,3.85,2.91,tech_cycle,2020-12-31,0.94,0.32302405498281783,0.9393,0.32302405498281783,2020,12,4,1,32.302405498281786,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.0,0.0,0.0,0.0,0.0,0.0,11,2,0.52174306,1
AVGO,2020-01-31,5.25,5.22,tech_cycle,2020-01-31,0.03000000000000025,0.005747126436781657,0.03000000000000025,0.005747126436781657,2020,1,1,1,0.5747126436781657,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,0.11760202682602966,13.41289472579956,-0.031071428571428607,0.04428571428571423,1.0,,-0.056785714285714314,0.21428571428571427,7,2,0.70223594,1
AVGO,2020-04-30,5.14,5.13,tech_cycle,2020-04-30,0.009999999999999787,0.0019493177387913815,0.009999999999999787,0.0019493177387913815,2020,4,2,1,0.19493177387913815,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,-0.09638340460683945,35.12623384401396,-0.040000000000000036,0.007999999999999905,0.0,,0.057857142857142704,0.03571428571428571,7,2,0.47305134,0
AVGO,2020-07-31,5.4,5.24,tech_cycle,2020-07-31,0.16000000000000014,0.030534351145038195,0.16000000000000014,0.030534351145038195,2020,7,3,1,3.0534351145038197,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.16359474487978273,31.26493515906396,-0.012499999999999966,0.016071428571428514,0.0,,-0.018333333333333323,0.16666666666666666,8,2,0.5826619,1
AVGO,2020-10-31,6.35,6.26,tech_cycle,2020-10-31,0.08999999999999986,0.0143769968051118,0.08999999999999986,0.0143769968051118,2020,10,4,1,1.43769968051118,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.026662120674626037,26.596455610251123,0.032499999999999876,-0.04178571428571435,0.0,,-0.03916666666666672,0.16666666666666666,8,2,0.8264697,1
BA,2020-03-31,-1.7,-2.04,economically_cyclical,2020-03-31,0.3400000000000001,0.1666666666666667,0.3400000000000001,0.1666666666666667,2020,3,1,1,16.66666666666667,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.2073333333333333,0.19380952380952382,2.0,-3.0999999999999996,0.0985,0.1,9,3,0.51242626,1
BA,2020-06-30,-4.79,-2.93,economically_cyclical,2020-06-30,-1.8599999999999999,-0.6348122866894197,-1.8599999999999999,-0.6348122866894197,2020,6,2,0,-63.48122866894197,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.031166666666666683,0.028333333333333332,1.0,-0.3799999999999999,0.06533333333333337,0.3,9,3,0.59493035,1
BA,2020-09-30,-1.39,-2.33,economically_cyclical,2020-09-30,0.9400000000000002,0.40343347639484983,0.9400000000000002,0.40343347639484983,2020,9,3,1,40.34334763948498,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.037166666666666674,0.028333333333333332,0.0,-0.40000000000000013,-0.036333333333333315,0.0,9,3,0.639153,1
BA,2020-12-31,-15.25,-1.78,economically_cyclical,2020-12-31,-13.47,-7.567415730337079,-3.9984000000000006,-7.567415730337079,2020,12,4,0,-756.7415730337079,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.04016666666666664,-0.03154761904761906,1.0,0.42999999999999994,-0.16316666666666665,0.06666666666666667,9,3,0.7033753,1
BAC,2020-03-31,0.4,0.42,macro_rate_sensitive,2020-03-31,-0.019999999999999962,-0.04761904761904753,-0.019999999999999962,-0.04761904761904753,2020,3,1,0,-4.761904761904753,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.0013636363636363668,-0.0022424242424242445,1.0,-0.030000000000000027,0.0036363636363636346,0.045454545454545456,11,1,0.39139125,0
BAC,2020-06-30,0.37,0.28,macro_rate_sensitive,2020-06-30,0.08999999999999997,0.3214285714285713,0.08999999999999997,0.3214285714285713,2020,6,2,1,32.14285714285713,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.0020909090909090847,0.00030303030303030097,0.0,-0.010000000000000009,-0.008272727272727282,0.0,11,1,0.40633428,0
BAC,2020-09-30,0.51,0.53,macro_rate_sensitive,2020-09-30,-0.020000000000000018,-0.03773584905660381,-0.020000000000000018,-0.03773584905660381,2020,9,3,0,-3.7735849056603805,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.002636363636363643,-0.00212121212121212,1.0,0.0,0.00018181818181818197,0.045454545454545456,11,1,0.5441971,1
BAC,2020-12-31,0.59,0.56,macro_rate_sensitive,2020-12-31,0.029999999999999916,0.053571428571428416,0.029999999999999916,0.053571428571428416,2020,12,4,1,5.357142857142842,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.0012727272727272698,0.00018181818181818197,0.0,0.010000000000000009,-0.0021818181818181797,0.0,11,1,0.41092533,0
BMY,2020-03-31,1.72,1.48,regulatory_idiosyncratic,2020-03-31,0.24,0.16216216216216217,0.24,0.16216216216216217,2020,3,1,1,16.216216216216218,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.010357142857142869,0.007500000000000007,0.0,,0.024404761904761887,0.34523809523809523,8,4,0.6092389,1
BMY,2020-06-30,1.63,1.46,regulatory_idiosyncratic,2020-06-30,0.16999999999999993,0.11643835616438351,0.16999999999999993,0.11643835616438351,2020,6,2,1,11.643835616438352,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.0060714285714285905,0.0053571428571428615,0.0,,0.0,0.0,8,4,0.33667514,0
BMY,2020-09-30,1.63,1.49,regulatory_idiosyncratic,2020-09-30,0.1399999999999999,0.0939597315436241,0.1399999999999999,0.0939597315436241,2020,9,3,1,9.395973154362409,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.0047619047619047875,0.003571428571428575,0.0,,-0.0025000000000000022,0.14285714285714285,8,4,0.36121005,0
BMY,2020-12-31,1.46,1.37,regulatory_idiosyncratic,2020-12-31,0.08999999999999986,0.0656934306569342,0.08999999999999986,0.0656934306569342,2020,12,4,1,6.5693430656934195,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.0008333333333333367,0.0010714285714285723,0.0,,-0.003333333333333336,0.14285714285714285,8,4,0.72112864,1
C,2020-03-31,1.06,0.89,macro_rate_sensitive,2020-03-31,0.17000000000000004,0.19101123595505623,0.17000000000000004,0.19101123595505623,2020,3,1,1,19.101123595505623,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.003727272727272745,-0.005151515151515144,1.0,-0.08999999999999986,0.02845454545454546,0.0,11,1,0.5246127,1
C,2020-06-30,0.5,0.47,macro_rate_sensitive,2020-06-30,0.030000000000000027,0.06382978723404262,0.030000000000000027,0.06382978723404262,2020,6,2,1,6.382978723404261,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,0.00018181818181819005,-0.007393939393939395,1.0,-0.030000000000000027,-0.05690909090909089,0.0,11,1,0.616755,1
C,2020-09-30,1.4,1.01,macro_rate_sensitive,2020-09-30,0.3899999999999999,0.38613861386138604,0.3899999999999999,0.38613861386138604,2020,9,3,1,38.6138613861386,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.005272727272727265,-0.006060606060606066,1.0,-0.040000000000000036,0.03927272727272728,0.045454545454545456,11,1,0.6358589,1
C,2020-12-31,2.07,1.35,macro_rate_sensitive,2020-12-31,0.7199999999999998,0.5333333333333331,0.7199999999999998,0.5333333333333331,2020,12,4,1,53.33333333333331,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.00809090909090908,-0.0013939393939393953,0.0,0.07000000000000006,-0.010000000000000012,0.0,11,1,0.4960135,0
CAT,2020-03-31,1.6,1.76,economically_cyclical,2020-03-31,-0.15999999999999992,-0.09090909090909087,-0.15999999999999992,-0.09090909090909087,2020,3,1,0,-9.090909090909086,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.049499999999999954,0.035476190476190494,0.0,-0.6799999999999997,0.026500000000000006,0.2,9,3,0.6297221,1
CAT,2020-06-30,1.03,0.66,economically_cyclical,2020-06-30,0.37,0.5606060606060606,0.37,0.5606060606060606,2020,6,2,1,56.060606060606055,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-1.4802973661668754e-17,0.0,0.0,0.0,0.0,0.0,9,3,0.5404556,1
CAT,2020-09-30,1.34,1.15,economically_cyclical,2020-09-30,0.19000000000000017,0.16521739130434798,0.19000000000000017,0.16521739130434798,2020,9,3,1,16.5217391304348,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,-0.011666666666666685,0.019047619047619046,1.0,-0.19999999999999996,-0.024666666666666646,0.06666666666666667,9,3,0.64718974,1
CAT,2020-12-31,2.12,1.46,economically_cyclical,2020-12-31,0.6600000000000001,0.45205479452054803,0.6600000000000001,0.45205479452054803,2020,12,4,1,45.2054794520548,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.0033333333333333067,-0.0004761904761904766,1.0,-0.020000000000000018,-0.0020000000000000018,-0.15,9,3,0.53675425,1
CL,2020-03-31,0.75,0.73,defensive_baseline,2020-03-31,0.020000000000000018,0.02739726027397263,0.020000000000000018,0.02739726027397263,2020,3,1,1,2.739726027397263,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.0013333333333333346,0.001666666666666668,0.0,-0.020000000000000018,0.0033333333333333288,0.2,9,5,0.53756344,1
CL,2020-06-30,0.74,0.71,defensive_baseline,2020-06-30,0.030000000000000027,0.042253521126760604,0.030000000000000027,0.042253521126760604,2020,6,2,1,4.2253521126760605,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.0003333333333333262,0.0009523809523809532,1.0,0.0,-0.0010000000000000009,0.06666666666666667,9,5,0.5605202,1
CL,2020-09-30,0.79,0.7,defensive_baseline,2020-09-30,0.09000000000000008,0.1285714285714287,0.09000000000000008,0.1285714285714287,2020,9,3,1,12.85714285714287,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.0,0.0,0.0,,0.0,0.0,8,5,0.71284705,1
CL,2020-12-31,0.77,0.77,defensive_baseline,2020-12-31,0.0,0.0,0.0,0.0,2020,12,4,0,0.0,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,0.0,0.0,0.0,0.0,0.0010000000000000009,0.06666666666666667,9,5,0.5278082,1
COP,2020-03-31,0.45,0.21,commodity_driven,2020-03-31,0.24000000000000002,1.142857142857143,0.24000000000000002,1.142857142857143,2020,3,1,1,114.2857142857143,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.08773809523809523,-0.006785714285714282,0.0,,0.009999999999999998,0.34523809523809523,8,0,0.78117394,1
